Force/Region,March 2019,September 2019,increase,pct increase
North East,5484.0,5508.0,24.0,0.437636761487965
Cleveland,1222.0,1244.0,22.0,1.800327332242226
Durham,1133.0,1135.0,2.0,0.176522506619594
Northumbria,3129.0,3129.0,0.0,0.0
North West,16111.0,16428.0,317.0,1.9675997765501834
Cheshire,2037.0,2041.0,4.0,0.19636720667648502
Cumbria,1185.0,1197.0,12.0,1.0126582278481013
Greater Manchester,6505.0,6598.0,93.0,1.4296694850115297
Lancashire,2952.0,2952.0,0.0,0.0
Merseyside,3432.0,3640.0,208.0,6.0606060606060606
Yorkshire and the Humber,10990.0,11106.0,116.0,1.0555050045495906
Humberside,1929.0,1938.0,9.0,0.46656298600311047
North Yorkshire,1400.0,1454.0,54.0,3.8571428571428568
South Yorkshire,2412.0,2434.0,22.0,0.9121061359867331
West Yorkshire,5249.0,5280.0,31.0,0.5905886835587731
East Midlands,8046.0,8060.0,14.0,0.17399950285856325
Derbyshire,1806.0,1839.0,33.0,1.8272425249169437
Leicestershire,1891.0,1860.0,-31.0,-1.639344262295082
Lincolnshire,1114.0,1093.0,-21.0,-1.8850987432675044
Northamptonshire,1254.0,1297.0,43.0,3.4290271132376398
Nottinghamshire,1981.0,1971.0,-10.0,-0.5047955577990914
West Midlands,11069.0,11254.0,185.0,1.6713343572138404
Staffordshire,1592.0,1604.0,12.0,0.7537688442211055
Warwickshire,828.0,956.0,128.0,15.458937198067632
West Mercia,2008.0,2148.0,140.0,6.97211155378486
West Midlands,6641.0,6546.0,-95.0,-1.4305074536967324
Eastern,10737.0,10978.0,241.0,2.2445748346838035
Bedfordshire,1180.0,1208.0,28.0,2.3728813559322033
Cambridgeshire,1476.0,1518.0,42.0,2.8455284552845526
Essex,3162.0,3274.0,112.0,3.542061986084757
Hertfordshire,2049.0,2069.0,20.0,0.9760858955588092
Norfolk,1665.0,1698.0,33.0,1.981981981981982
Suffolk,1205.0,1211.0,6.0,0.49792531120331945
London,31811.0,32321.0,510.0,1.603219012291346
City of London,748.0,765.0,17.0,2.272727272727273
Metropolitan,31063.0,31556.0,493.0,1.5870971895824613
South East,15309.0,15367.0,58.0,0.37886210725716896
Hampshire,2785.0,2749.0,-36.0,-1.2926391382405744
Kent,3618.0,3615.0,-3.0,-0.08291873963515754
Surrey,1930.0,1947.0,17.0,0.8808290155440414
Sussex,2734.0,2755.0,21.0,0.7681053401609363
Thames Valley,4242.0,4301.0,59.0,1.3908533710513908
South West,9242.0,9336.0,94.0,1.0170958666955203
Avon & Somerset,2765.0,2829.0,64.0,2.3146473779385173
Devon & Cornwall,3080.0,3077.0,-3.0,-0.09740259740259741
Dorset,1268.0,1272.0,4.0,0.31545741324921134
Gloucestershire,1110.0,1156.0,46.0,4.1441441441441444
Wiltshire,1019.0,1002.0,-17.0,-1.6683022571148183
Wales,6994.0,7023.0,29.0,0.4146411209608235
Dyfed-Powys,1163.0,1159.0,-4.0,-0.34393809114359414
Gwent,1324.0,1306.0,-18.0,-1.3595166163141994
North Wales,1477.0,1522.0,45.0,3.046716316858497
South Wales,3030.0,3036.0,6.0,0.19801980198019803
Central Service Secondments,311.2075,387.0,75.79250000000002,24.3543295068403
British Transport Police,2881.0,3022.0,141.0,4.894133981256508
