Region,Police Force,Total
England and Wales,Total England and Wales,313137.0
North East,Total North East ,28429.0
North East,Cleveland,6315.0
North East,Durham,5594.0
North East,Northumbria,16520.0
North West,Total North West ,26422.0
North West,Cheshire,4391.0
North West,Cumbria,4296.0
North West,Greater Manchester,5723.0
North West,Lancashire,7491.0
North West,Merseyside,4521.0
Yorkshire and the Humber,Total Yorkshire and the Humber ,29282.0
Yorkshire and the Humber,Humberside,3864.0
Yorkshire and the Humber,North Yorkshire,3504.0
Yorkshire and the Humber,South Yorkshire,6421.0
Yorkshire and the Humber,West Yorkshire,15493.0
East Midlands,Total East Midlands ,17837.0
East Midlands,Derbyshire,1473.0
East Midlands,Leicestershire,3869.0
East Midlands,Lincolnshire,4558.0
East Midlands,Northamptonshire,4335.0
East Midlands,Nottinghamshire,3602.0
West Midlands,Total West Midlands ,15024.0
West Midlands,Staffordshire,5255.0
West Midlands,Warwickshire,1537.0
West Midlands,West Mercia,6625.0
West Midlands,West Midlands,1607.0
East of England,Total East of England ,35361.0
East of England,Bedfordshire,3387.0
East of England,Cambridgeshire,4562.0
East of England,Essex,9837.0
East of England,Hertfordshire,10666.0
East of England,Norfolk,4245.0
East of England,Suffolk,2664.0
London,Total London ,62164.0
London,City of London,1148.0
London,Metropolitan,61016.0
South East,Total South East ,49677.0
South East,Hampshire,4917.0
South East,Kent,12436.0
South East,Surrey,5660.0
South East,Sussex,13507.0
South East,Thames Valley,13157.0
South West,Total South West ,27645.0
South West,Avon & Somerset,8672.0
South West,Devon & Cornwall,10164.0
South West,Dorset,5930.0
South West,Gloucestershire,1208.0
South West,Wiltshire,1671.0
Wales,Total Wales,21296.0
Wales,Dyfed-Powys,1693.0
Wales,Gwent,408.0
Wales,North Wales,1508.0
Wales,South Wales,17687.0
